id,task,label,y,chrom,split,start0,end0,length,log_length,population,stat_name,stat_value,archaic_best,contrast,row_index,gc,repeat_frac,mappability,gene_density,svd_0,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9
sweep_GIH_chr1_00126,sweeps,sweep,1,chr1,test,211422613,211430805,32768,4.51545,GIH,max_normalized_iHS,4.3239,,sweeps,0,0.3963623,0.69775391,1.0,1.0,4.1515956,0.1897734,0.19307509,-0.0068565854,-0.23589958,-0.08421177,0.061907157,0.12909877,-0.019855324,-0.07889036
sweep_YRI_chr2_00161,sweeps,sweep,1,chr2,test,157974168,157982360,32768,4.51545,YRI,max_normalized_iHS,4.5022,,sweeps,1,0.39660645,0.99755859,1.0,1.0,4.3823113,0.78893614,-0.11360883,-0.048851565,-0.23605801,-0.06460629,0.15061836,0.045539822,0.022394408,0.3073759
sweep_CHB_chr1_00027,sweeps,sweep,1,chr1,test,38870838,38879030,32768,4.51545,CHB,max_normalized_iHS,4.64997,,sweeps,2,0.4678955,0.36901855,1.0,1.0,3.9075642,0.083769076,0.20524338,0.1176746,0.11355457,0.03746748,0.000888528,0.1308052,-0.119597435,0.0028661513
sweep_CEU_chr2_00103,sweeps,sweep,1,chr2,test,169666419,169674611,32768,4.51545,CEU,max_normalized_iHS,8.16,,sweeps,3,0.3968506,0.75708008,1.0,1.0,4.2597995,0.2652289,-0.2152405,-0.15282357,-0.19776759,-0.038933378,0.09006937,-0.11397047,0.013272255,0.03342505
sweep_GIH_chr1_00079,sweeps,sweep,1,chr1,test,113503372,113511564,32768,4.51545,GIH,max_normalized_iHS,4.06477,,sweeps,4,0.3503418,0.36413574,0.94799805,1.0,3.731183,-0.28032643,-0.10563949,-0.154409,-0.027237173,-0.009456928,-0.107171156,0.0043692705,-0.054229226,-0.043040793
sweep_CHB_chr2_00040,sweeps,sweep,1,chr2,test,94923436,94931628,32768,4.51545,CHB,max_normalized_iHS,4.06725,,sweeps,5,0.4416504,0.67382812,1.0,1.0,4.1516485,0.18172726,0.18946913,0.067577764,-0.19606179,0.30312034,0.1651489,-0.05018823,-0.007400611,0.012728312
sweep_YRI_chr1_00143,sweeps,sweep,1,chr1,test,158885208,158893400,32768,4.51545,YRI,max_normalized_iHS,7.8155,,sweeps,6,0.4091797,0.77832031,0.9029541,0.0,4.4131737,0.7666837,0.1636999,-0.029718893,0.69827527,0.0043221647,-0.11708641,0.16255768,0.20696747,-0.112694636
sweep_YRI_chr2_00076,sweeps,sweep,1,chr2,test,83892712,83900904,32768,4.51545,YRI,max_normalized_iHS,4.83054,,sweeps,7,0.3609619,0.50439453,1.0,0.0,4.1067963,-0.15691571,-0.12396409,-0.14561862,-0.04534276,0.023064343,-0.08389318,0.057051994,-0.0142081315,-0.038460076
sweep_CHB_chr1_00023,sweeps,sweep,1,chr1,test,33377062,33385254,32768,4.51545,CHB,max_normalized_iHS,4.03682,,sweeps,8,0.45654297,0.27819824,1.0,1.0,3.906183,-0.36864465,-0.18855445,0.06614215,-0.018065367,-0.03454323,-0.024481716,-0.0672326,0.020088207,0.05604102
sweep_CEU_chr2_00047,sweeps,sweep,1,chr2,test,106622017,106630209,32768,4.51545,CEU,max_normalized_iHS,5.1777,,sweeps,9,0.40393066,0.44470215,1.0,0.0,3.8307326,-0.11926784,-0.17680094,-0.037277393,-0.10019401,-0.044992913,0.065392666,0.013245501,0.040107846,0.1215978
sweep_YRI_chr1_00065,sweeps,sweep,1,chr1,test,55789099,55797291,32768,4.51545,YRI,max_normalized_iHS,4.7763,,sweeps,10,0.41845703,0.81933594,1.0,1.0,4.1717114,0.2754211,-0.19608998,-0.07361521,-0.0644272,-0.059025764,-0.0117312055,-0.18654878,-0.15789182,-0.046682417
sweep_CHB_chr2_00006,sweeps,sweep,1,chr2,test,15186946,15195138,32768,4.51545,CHB,max_normalized_iHS,4.27468,,sweeps,11,0.3548584,0.30078125,1.0,1.0,3.8424196,-0.38735202,-0.07330201,-0.17112668,0.004761031,0.15046538,-0.055490296,-0.05476721,0.07362133,0.045234226
sweep_CHB_chr1_00006,sweeps,sweep,1,chr1,test,5383385,5391577,32768,4.51545,CHB,max_normalized_iHS,4.28672,,sweeps,12,0.4831543,0.29650879,1.0,0.0,3.8338199,-0.5524631,-0.1275696,0.30045873,0.13965246,-0.054691147,0.16816135,0.06666132,0.11953016,0.096913025
sweep_GIH_chr2_00134,sweeps,sweep,1,chr2,test,224519607,224527799,32768,4.51545,GIH,max_normalized_iHS,7.96092,,sweeps,13,0.3651123,0.45153809,1.0,1.0,3.9436004,-0.24232493,0.3826287,-0.17479342,-0.055488363,0.50345737,0.089045115,-0.30322027,0.0049065645,-0.006325292
sweep_PEL_chr1_00084,sweeps,sweep,1,chr1,test,168748242,168756434,32768,4.51545,PEL,max_normalized_iHS,4.35413,,sweeps,14,0.39819336,0.46508789,0.99975586,1.0,3.9737444,-0.1433621,-0.07514574,-0.018180266,0.040784378,-0.0083061205,-0.025861347,0.10308153,0.016048588,0.08786184
sweep_PEL_chr2_00050,sweeps,sweep,1,chr2,test,117496245,117504437,32768,4.51545,PEL,max_normalized_iHS,4.31261,,sweeps,15,0.34606934,0.35058594,1.0,0.0,3.8445373,-0.34266952,-0.16398576,-0.20099999,-0.03764245,0.0014408297,-0.116603866,0.009109167,-0.030205972,0.011861069
sweep_GIH_chr1_00137,sweeps,sweep,1,chr1,test,227273663,227281855,32768,4.51545,GIH,max_normalized_iHS,4.90471,,sweeps,16,0.4074707,0.58581543,0.99658203,1.0,3.940441,0.0027894676,0.04999387,-0.048002295,0.14693649,0.104127176,-0.04025634,-0.005607508,-0.0654586,-0.08164624
sweep_CEU_chr2_00122,sweeps,sweep,1,chr2,test,199875695,199883887,32768,4.51545,CEU,max_normalized_iHS,6.6895,,sweeps,17,0.40344238,0.69274902,1.0,1.0,3.9067993,0.0041758902,-0.023361823,-0.007893944,-0.051845185,0.053222395,-0.010380278,0.079578586,-0.11361321,-0.021955775
sweep_CHB_chr1_00123,sweeps,sweep,1,chr1,test,202731992,202740184,32768,4.51545,CHB,max_normalized_iHS,4.36751,,sweeps,18,0.3935547,0.25463867,0.99633789,1.0,4.100873,-0.18245107,0.3331008,-0.1841438,0.34349132,0.4270161,-0.029881734,-0.29427418,-0.0026963989,0.11365418
sweep_PEL_chr2_00085,sweeps,sweep,1,chr2,test,186236530,186244722,32768,4.51545,PEL,max_normalized_iHS,4.4347,,sweeps,19,0.36523438,0.76831055,1.0,1.0,4.1709156,0.33350474,-0.18333337,-0.11941489,-0.16404498,-0.003128564,0.023528317,-0.08179302,0.016346967,-0.08356425
sweep_GIH_chr1_00036,sweeps,sweep,1,chr1,test,45486970,45495162,32768,4.51545,GIH,max_normalized_iHS,4.0534,,sweeps,20,0.47888184,0.47387695,1.0,0.67016602,4.1291947,0.12930249,0.111884296,0.12570545,-0.036312412,0.11086945,0.10090946,0.049896143,-0.17169215,-0.10733479
sweep_CEU_chr2_00044,sweeps,sweep,1,chr2,test,98459611,98467803,32768,4.51545,CEU,max_normalized_iHS,9.15566,,sweeps,21,0.4946289,0.3494873,1.0,1.0,4.03305,-0.37916687,0.07424352,0.2793872,-0.03274542,-0.23603876,0.22641528,-0.03961873,0.14644207,0.080718204
sweep_YRI_chr1_00158,sweeps,sweep,1,chr1,test,171492209,171500401,32768,4.51545,YRI,max_normalized_iHS,4.60065,,sweeps,22,0.40795898,0.57446289,1.0,1.0,4.260512,0.032593895,0.50381976,-0.03730788,-0.20431067,-0.27819934,-0.0015319677,0.030151488,-0.023328196,-0.070617214
sweep_YRI_chr2_00132,sweeps,sweep,1,chr2,test,126171702,126179894,32768,4.51545,YRI,max_normalized_iHS,4.31317,,sweeps,23,0.414917,0.34387207,0.85144043,1.0,3.9847138,-0.08739755,-0.0058901752,0.15327053,0.29455256,-0.024931516,-0.031781916,0.1044514,0.0051803407,0.06414216
sweep_CHB_chr1_00021,sweeps,sweep,1,chr1,test,30671049,30679241,32768,4.51545,CHB,max_normalized_iHS,4.12611,,sweeps,24,0.4161377,0.75854492,1.0,0.0,4.1575136,0.060022015,-0.19216713,-0.0028133504,-0.14027177,-0.0027008557,0.103451736,-0.10524918,-0.023564694,-0.15578777
sweep_YRI_chr2_00070,sweeps,sweep,1,chr2,test,81912831,81921023,32768,4.51545,YRI,max_normalized_iHS,4.72672,,sweeps,25,0.37573242,0.82641602,0.9967041,0.0,4.489764,0.6801566,0.055191487,-0.09054713,0.16724204,-0.005571184,0.023045126,0.22173624,0.07865702,0.18817072
sweep_YRI_chr1_00147,sweeps,sweep,1,chr1,test,161605720,161613912,32768,4.51545,YRI,max_normalized_iHS,4.04525,,sweeps,26,0.48754883,0.20703125,0.86767578,1.0,3.7810698,-0.12217896,0.010079206,0.102217436,0.27293345,-0.037470944,-0.10837077,-0.049397297,-0.14660059,-0.07329984
sweep_CHB_chr2_00075,sweeps,sweep,1,chr2,test,144123141,144131333,32768,4.51545,CHB,max_normalized_iHS,5.14383,,sweeps,27,0.34521484,0.24291992,1.0,1.0,3.7768297,-0.55148476,0.07553561,-0.25603822,0.034136005,0.3315542,-0.07756298,-0.08066068,0.07654768,0.077748105
sweep_CEU_chr1_00027,sweeps,sweep,1,chr1,test,29569780,29577972,32768,4.51545,CEU,max_normalized_iHS,5.53842,,sweeps,28,0.47888184,0.38659668,1.0,0.0,4.1564894,-0.30953744,-0.23026557,0.22375417,0.14488962,-0.114436574,0.1670656,-0.15794702,0.053140208,0.023296729
sweep_YRI_chr2_00215,sweeps,sweep,1,chr2,test,197634467,197642659,32768,4.51545,YRI,max_normalized_iHS,4.34358,,sweeps,29,0.39453125,0.77404785,0.7244873,1.0,4.483619,0.73820996,0.21141227,-0.049729746,0.79057366,-0.086948015,-0.20993932,0.16563083,-0.014301108,0.21093835
sweep_CHB_chr1_00118,sweeps,sweep,1,chr1,test,195557804,195565996,32768,4.51545,CHB,max_normalized_iHS,4.90456,,sweeps,30,0.3363037,0.57775879,0.99487305,0.0,3.9090302,-0.024986913,0.04025925,-0.10987815,0.09412845,0.030268567,-0.11504705,0.17687918,0.024630122,-0.047198996
sweep_YRI_chr2_00023,sweeps,sweep,1,chr2,test,18571339,18579531,32768,4.51545,YRI,max_normalized_iHS,5.71897,,sweeps,31,0.33483887,0.69921875,1.0,1.0,4.1965995,0.19154808,-0.1394038,-0.2005585,-0.11816591,0.077704616,0.03391126,-0.058341946,0.1390549,-0.14166494
sweep_PEL_chr1_00031,sweeps,sweep,1,chr1,test,40251158,40259350,32768,4.51545,PEL,max_normalized_iHS,4.15763,,sweeps,32,0.44970703,0.57385254,1.0,0.42419434,3.8071325,-0.032478318,0.06962981,0.113570854,0.025953865,-0.0229358,0.008291206,0.07383527,-0.15106007,-0.051868398
